Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"D07",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",62.7,ddPCR Supermix for Probes (no dUTP),1254,,,67.3,58.1,718,13118,0,10,718,13108,0,13836,,,,,,,,0.014,,,0.022,0.005,1.3,,,2.2,0.5,1,1,2759,11084,1143.3,1659.1,"",,,,65,60.4,,,,,,,0.0179,0.0092,,,1.76,0.92,
"D08",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",8.4,ddPCR Supermix for Probes (no dUTP),168,,,10.1,6.8,98,13737,0,3,98,13734,0,13835,,,,,,,,0.031,,,0.068,0,3,,,6.5,0,1,1,1373,10898,1143.4,1212.5,"",,,,9.2,7.5,,,,,,,0.049,0.012,,,4.7,1.2,
"D09",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",56.4,ddPCR Supermix for Probes (no dUTP),1128,,,60.7,52,646,13165,0,10,646,13155,0,13811,,,,,,,,0.015,,,0.025,0.005,1.5,,,2.4,0.6,1,1,2981,11189,1146.7,1616.4,"",,,,58.6,54.1,,,,,,,0.02,0.0103,,,1.96,1.02,
"D10",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",31.4,ddPCR Supermix for Probes (no dUTP),628,,,34.4,28.4,415,15345,1,4,414,15341,0.0666,15760,,,,,,,,0.012,,,0.023,0.001,1.2,,,2.2,0.1,1,1,2808,10957,1140.8,1399.3,"",,,,32.9,29.9,,,,,,,0.017,0.006,,,1.7,0.6,
"D11",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",31.1,ddPCR Supermix for Probes (no dUTP),622,,,34.2,27.9,374,13972,0,13,374,13959,0,14346,,,,,,,,0.034,,,0.054,0.015,3.3,,,5.1,1.5,1,1,2862,11116,1144.8,1404.8,"",,,,32.7,29.5,,,,,,,0.044,0.025,,,4.2,2.4,
"D12",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",32.1,ddPCR Supermix for Probes (no dUTP),642,,,35.5,28.8,354,12785,0,10,354,12775,0,13139,,,,,,,,0.028,,,0.046,0.01,2.7,,,4.4,1,1,1,2210,11121,1127.7,1397,"",,,,33.8,30.4,,,,,,,0.037,0.019,,,3.6,1.9,
"E01",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",29.9,ddPCR Supermix for Probes (no dUTP),598,,,32.9,27,398,15444,0,13,398,15431,0,15842,,,,,,,,0.032,,,0.05,0.014,3.1,,,4.8,1.4,1,1,1691,11651,1193.3,1456,"",,,,31.4,28.4,,,,,,,0.041,0.023,,,4,2.3,
"E02",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",40.8,ddPCR Supermix for Probes (no dUTP),816,,,44.3,37.3,524,14855,2,17,522,14838,0.107,15379,,,,,,,,0.036,,,0.052,0.019,3.4,,,5,1.9,1,1,2929,11305,1176.6,1521.7,"",,,,42.6,39,,,,,,,0.044,0.027,,,4.2,2.7,
"E03",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",43.4,ddPCR Supermix for Probes (no dUTP),868,,,47,39.8,556,14786,2,19,554,14767,0.0987,15342,,,,,,,,0.037,,,0.053,0.021,3.6,,,5.1,2.1,1,1,2953,11226,1172.9,1537.2,"",,,,45.3,41.6,,,,,,,0.045,0.029,,,4.3,2.8,
"E04",Absolute Quantification,"ABS","WT",Ch2Unknown,"ACTB","OK",58.7,ddPCR Supermix for Probes (no dUTP),1174,,,63,54.5,739,14440,1,8,738,14432,0.0458,15179,,,,,,,,0.012,,,0.02,0.004,1.2,,,2,0.4,1,1,2912,11204,1161.5,1650.4,"",,,,60.9,56.6,,,,,,,0.0159,0.0079,,,1.57,0.78,
