DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
05:22:23.881 2018-11-20,60.16192,60,24.71942,0,60,61
05:22:24.881 2018-11-20,60.13839,60,24.92022,0,60,61
05:22:25.897 2018-11-20,60.08545,60,26.79905,0,60,61
05:22:26.896 2018-11-20,60.02567,60,28.35297,0,60,61
05:22:27.896 2018-11-20,59.95014,60,30.61995,0.04397202,60,61
05:22:28.896 2018-11-20,59.89625,60,33.34187,0.1185417,60,61
05:22:29.896 2018-11-20,59.85601,60,34.42266,0.1439857,60,61
05:22:30.895 2018-11-20,59.86095,60,34.78984,0.1449356,60,61
05:22:31.895 2018-11-20,59.86874,60,34.36526,0.1214027,60,61
05:22:32.895 2018-11-20,59.90992,60,33.73669,0.09007645,60,61
05:22:33.910 2018-11-20,59.97861,60,32.2725,0.03712845,60,61
05:22:34.910 2018-11-20,60.03346,60,30.19549,0,60,61
05:22:35.910 2018-11-20,60.07368,60,28.64118,0,60,61
05:22:36.910 2018-11-20,60.09912,60,27.46087,0,60,61
05:22:37.925 2018-11-20,60.11089,60,26.99418,0,60,61
05:22:38.925 2018-11-20,60.10405,60,26.92133,0,60,61
05:22:39.940 2018-11-20,60.08735,60,27.14725,0,60,61
05:22:40.940 2018-11-20,60.06383,60,27.37142,0,60,61
05:22:41.940 2018-11-20,60.0492,60,27.71615,0,60,61
05:22:42.939 2018-11-20,59.99816,60,29.09848,0,60,61
05:22:43.939 2018-11-20,59.95794,60,30.63256,0.04206467,60,61
05:22:44.939 2018-11-20,59.93933,60,31.23876,0.06066513,60,61
05:22:45.939 2018-11-20,59.91771,60,32.12803,0.08229446,60,61
05:22:46.938 2018-11-20,59.92264,60,32.1174,0.07736206,60,61
05:22:47.938 2018-11-20,59.92947,60,32.13242,0.07052612,60,61
05:22:48.938 2018-11-20,59.96382,60,31.11394,0.0361824,60,61
05:22:49.938 2018-11-20,59.99816,60,30.04963,0.001838684,60,61
05:22:50.938 2018-11-20,60.02758,60,29.09485,0,60,61
05:22:51.937 2018-11-20,60.04029,60,28.68612,0,60,61
05:22:52.953 2018-11-20,60.05508,60,28.06498,0,60,61
05:22:53.953 2018-11-20,60.02853,60,29.01139,0,60,61
05:22:54.984 2018-11-20,60.005,60,29.78123,0,60,61
05:22:55.983 2018-11-20,59.98146,60,30.57728,0.01853561,60,61
05:22:56.983 2018-11-20,59.96779,60,31.03486,0.0322113,60,61
05:22:57.983 2018-11-20,59.95014,60,31.74213,0.04985809,60,61
05:22:58.983 2018-11-20,59.93933,60,32.50285,0.06655121,60,61
05:22:59.982 2018-11-20,59.93933,60,32.46778,0.06066513,60,61
05:23:00.982 2018-11-20,59.97767,60,31.2055,0.02232742,60,61
05:23:01.982 2018-11-20,60.0012,60,30.51637,0,60,61
05:23:02.982 2018-11-20,60.02567,60,29.7275,0,60,61
05:23:03.982 2018-11-20,60.05699,60,28.78662,0,60,61
05:23:04.981 2018-11-20,60.06876,60,28.03781,0,60,61
05:23:05.981 2018-11-20,60.0845,60,27.22563,0,60,61
05:23:06.981 2018-11-20,60.06383,60,27.77775,0,60,61
05:23:07.979 2018-11-20,60.04618,60,28.13697,0,60,61
05:23:08.979 2018-11-20,60.02853,60,28.50031,0,60,61
05:23:09.979 2018-11-20,60.00006,60,29.35694,0,60,61
05:23:10.978 2018-11-20,59.98052,60,29.68166,0.01360321,60,61
05:23:11.978 2018-11-20,59.953,60,30.88197,0.04700089,60,61
05:23:12.978 2018-11-20,59.95205,60,30.92113,0.04795074,60,61
05:23:13.993 2018-11-20,59.95794,60,30.78048,0.04206467,60,61
05:23:14.993 2018-11-20,59.95699,60,30.96824,0.04301453,60,61
05:23:15.993 2018-11-20,59.94617,60,31.5803,0.05382919,60,61
05:23:17.008 2018-11-20,59.95603,60,31.39239,0.04397202,60,61
05:23:18.024 2018-11-20,59.96684,60,31.2056,0.03315735,60,61
05:23:19.024 2018-11-20,59.98449,60,30.73298,0.01551437,60,61
05:23:20.023 2018-11-20,60.01391,60,29.7634,0,60,61
05:23:21.023 2018-11-20,60.0325,60,29.16866,0,60,61
05:23:22.023 2018-11-20,60.05508,60,28.3003,0,60,61
05:23:23.023 2018-11-20,60.05604,60,28.18578,0,60,61
05:23:24.038 2018-11-20,60.03934,60,28.8876,0,60,61
05:23:25.053 2018-11-20,60.03743,60,28.57208,0,60,61
05:23:26.084 2018-11-20,60.01391,60,29.296,0,60,61
05:23:27.084 2018-11-20,59.99037,60,30.25457,0.01455688,60,61
05:23:28.084 2018-11-20,59.95699,60,31.05683,0.03712845,60,61
05:23:29.084 2018-11-20,59.94522,60,31.76781,0.05478287,60,61
05:23:30.083 2018-11-20,59.9492,60,32.3089,0.06559753,60,61
05:23:31.083 2018-11-20,59.95508,60,31.49874,0.03997803,60,61
05:23:32.083 2018-11-20,59.95205,60,32.04956,0.04795074,60,61
05:23:33.098 2018-11-20,59.99929,60,31.01424,0.01551437,60,61
05:23:34.098 2018-11-20,60.01391,60,29.84638,0,60,61
