,image_idx,cell_idx,n_spots,gfp
128,9.0,7.0,1.0,0.04416882796708183
129,9.0,6.0,1.0,0.03846434007682322
130,9.0,5.0,5.0,0.04070216817619848
131,9.0,4.0,18.0,0.04638740868418776
132,9.0,3.0,4.0,0.045843835919923255
133,9.0,2.0,1.0,0.04188037507572445
134,9.0,1.0,3.0,0.041823753339918
135,9.0,0.0,3.0,0.04734929042652637
136,10.0,17.0,9.0,0.042728682252597225
137,10.0,15.0,1.0,0.03191706541422681
138,10.0,14.0,2.0,0.041012218579992286
139,10.0,12.0,1.0,0.03409971766177363
140,10.0,8.0,6.0,0.041311874061062716
141,10.0,9.0,3.0,0.03828942942374312
142,10.0,5.0,8.0,0.04356448566896602
143,10.0,7.0,1.0,0.03724181627732144
144,10.0,6.0,2.0,0.03947453812630825
145,10.0,0.0,2.0,0.04009349203238936
146,10.0,1.0,3.0,0.03992522585729311
147,11.0,21.0,2.0,0.03325734594673185
148,11.0,22.0,4.0,0.029507196170937593
149,11.0,16.0,3.0,0.04172663262474492
150,11.0,19.0,1.0,0.03682738797418022
151,11.0,18.0,6.0,0.03706273550167583
152,11.0,14.0,2.0,0.03034496808883204
153,11.0,15.0,1.0,0.03448612568123801
154,11.0,13.0,36.0,0.03644462540328622
155,11.0,12.0,10.0,0.03607342177191265
156,11.0,11.0,13.0,0.03462578505096312
157,11.0,9.0,2.0,0.03549933576838685
158,11.0,7.0,2.0,0.03294260578403792
159,11.0,6.0,6.0,0.04302150858719112
160,11.0,2.0,8.0,0.043523794909193454
161,11.0,4.0,1.0,0.03929805768232336
162,11.0,1.0,17.0,0.03592257370990453
163,11.0,3.0,2.0,0.03168763509997992
164,11.0,0.0,3.0,0.041775869620837916
165,12.0,12.0,1.0,0.033916847406214826
166,12.0,11.0,2.0,0.03835900527540748
167,12.0,10.0,14.0,0.040281294423917056
168,12.0,8.0,13.0,0.044925168621666095
169,12.0,9.0,9.0,0.040571488223415275
170,12.0,6.0,17.0,0.03945732314831429
171,12.0,5.0,31.0,0.04403333065564482
172,12.0,3.0,49.0,0.03993729850554464
173,12.0,7.0,8.0,0.046790280598988265
174,12.0,2.0,32.0,0.039387319403706635
175,12.0,4.0,7.0,0.03753234467984258
176,12.0,1.0,21.0,0.04150622025889044
177,12.0,0.0,27.0,0.04798029152586369
178,13.0,14.0,6.0,0.03605375343077785
179,13.0,13.0,21.0,0.03485129231714428
180,13.0,15.0,2.0,0.030155557833341905
181,13.0,11.0,27.0,0.03237462933347229
182,13.0,12.0,22.0,0.03373927994388257
183,13.0,7.0,65.0,0.034546110726577
184,13.0,9.0,12.0,0.03854907361036883
185,13.0,8.0,2.0,0.03270176102899482
186,13.0,10.0,2.0,0.03233433488652687
187,13.0,6.0,21.0,0.036545007544912175
188,13.0,5.0,24.0,0.04741700917818725
189,13.0,4.0,38.0,0.03913778471002214
190,13.0,3.0,18.0,0.04288420450285568
191,13.0,2.0,21.0,0.04347893205517712
192,13.0,1.0,33.0,0.041268783303861176
193,13.0,0.0,23.0,0.045176689009822336
194,14.0,15.0,27.0,0.034174327155617475
195,14.0,14.0,21.0,0.03793091454033688
196,14.0,13.0,24.0,0.0379651961852546
197,14.0,12.0,16.0,0.04526820144283868
198,14.0,11.0,141.0,0.053168317988445714
199,14.0,8.0,88.0,0.04244826850401868
200,14.0,10.0,20.0,0.04395429866806703
201,14.0,9.0,51.0,0.03990701232200423
